State,County,Population
Alabama,Autauga,58877
Alabama,Baldwin,233140
Alabama,Barbour,25180
Alabama,Bibb,22223
Alabama,Blount,59081
Alabama,Bullock,10309
Alabama,Butler,19045
Alabama,Calhoun,116266
Alabama,Chambers,34678
Alabama,Cherokee,24958
Alabama,Chilton,45024
Alabama,Choctaw,12619
Alabama,Clarke,22995
Alabama,Clay,14193
Alabama,Cleburne,15035
Alabama,Coffee,53565
Alabama,Colbert,57236
Alabama,Conecuh,11552
Alabama,Coosa,10383
Alabama,Covington,37469
Alabama,Crenshaw,13157
Alabama,Cullman,88044
Alabama,Dale,49214
Alabama,Dallas,38190
Alabama,DeKalb,71630
Alabama,Elmore,88116
Alabama,Escambia,36665
Alabama,Etowah,103393
Alabama,Fayette,16307
Alabama,Franklin,32063
Alabama,Geneva,26675
Alabama,Greene,7704
Alabama,Hale,14792
Alabama,Henry,17167
Alabama,Houston,107190
Alabama,Jackson,52519
Alabama,Jefferson,673341
Alabama,Lamar,13943
Alabama,Lauderdale,93610
Alabama,Lawrence,33063
Alabama,Lee,174601
Alabama,Limestone,104322
Alabama,Lowndes,10297
Alabama,Macon,19476
Alabama,Madison,389696
Alabama,Marengo,19264
Alabama,Marion,29287
Alabama,Marshall,97608
Alabama,Mobile,414250
Alabama,Monroe,19723
Alabama,Montgomery,228448
Alabama,Morgan,123336
Alabama,Perry,8452
Alabama,Pickens,19062
Alabama,Pike,32981
Alabama,Randolph,21971
Alabama,Russell,59226
Alabama,St. Clair,91333
Alabama,Shelby,223708
Alabama,Sumter,12295
Alabama,Talladega,82069
Alabama,Tallapoosa,41229
Alabama,Tuscaloosa,227153
Alabama,Walker,65100
Alabama,Washington,15296
Alabama,Wilcox,10518
Alabama,Winston,23491
Alaska,Aleutians East Borough,3418
Alaska,Aleutians West Census Area,5206
Alaska,Anchorage Municipality,290637
Alaska,Bethel Census Area,18648
Alaska,Bristol Bay Borough,831
Alaska,Chugach Census Area,7073
Alaska,Copper River Census Area,2616
Alaska,Denali Borough,1611
Alaska,Dillingham Census Area,4839
Alaska,Fairbanks North Star Borough,95286
Alaska,Haines Borough,2085
Alaska,Hoonah-Angoon Census Area,2361
Alaska,Juneau City and Borough,32195
Alaska,Kenai Peninsula Borough,58893
Alaska,Ketchikan Gateway Borough,13902
Alaska,Kodiak Island Borough,13023
Alaska,Kusilvak Census Area,8357
Alaska,Lake and Peninsula Borough,1454
Alaska,Matanuska-Susitna Borough,107460
Alaska,Nome Census Area,10032
Alaska,North Slope Borough,10993
Alaska,Northwest Arctic Borough,7784
Alaska,Petersburg Borough,3401
Alaska,Prince of Wales-Hyder Census Area,5725
Alaska,Sitka City and Borough,8428
Alaska,Skagway Municipality,1239
Alaska,Southeast Fairbanks Census Area,6831
Alaska,Wrangell City and Borough,2130
Alaska,Yakutat City and Borough,683
Alaska,Yukon-Koyukuk Census Area,5300
Arizona,Apache,65897
Arizona,Cochise,125398
Arizona,Coconino,145116
Arizona,Gila,53306
Arizona,Graham,38614
Arizona,Greenlee,9522
Arizona,La Paz,16580
Arizona,Maricopa,4438342
Arizona,Mohave,214070
Arizona,Navajo,106802
Arizona,Pima,1045599
Arizona,Pinal,429583
Arizona,Santa Cruz,47653
Arizona,Yavapai,237067
Arizona,Yuma,204437
Arkansas,Ashley,18960
Arkansas,Baxter,41655
Arkansas,Benton,286353
Arkansas,Boone,37352
Arkansas,Bradley,10498
Arkansas,Calhoun,4725
Arkansas,Carroll,28202
Arkansas,Chicot,10143
Arkansas,Clark,21362
Arkansas,Clay,14508
Arkansas,Cleburne,24665
